Antecedent (If Condition),Consequent (Output)
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = VeryOld,MediumRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Old,MediumRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Mid,LowRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = High AND Age = Young,LowRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = VeryOld,HighRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Old,MediumRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Mid,LowRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = Normal AND Age = Young,HighRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = VeryOld,HighRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Old,HighRisk
ChestPain = NoPain AND HbA1c = VeryHealthy AND LDL = VeryHealthy AND HDL = Low AND HeartRate = VeryHealthy AND BloodPressure = VeryHigh AND Age = Mid,MediumRisk
